Address,City,Name,URL,Program De,School dis,Image,result_num,status,formatted_,place_id,location_t,latlong
501 Koehler Ct,"San Antonio, TX",Hillside Manor Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"501 Koehler Ct, San Antonio, TX 78223, USA",ChIJYdOpp7n3XIYRzX-Bm0IDfLg,ROOFTOP,"29.36705559999999,-98.4587058"
515 Riverside Dr,"San Antonio, TX",Riverside Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"515 Riverside Dr, San Antonio, TX 78223, USA",ChIJqwlXfdH3XIYRrlphRCaTXIc,ROOFTOP,"29.3743234,-98.47663700000001"
927 VFW Blvd,"San Antonio, TX",Mission Del Rio Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"927 VFW Blvd, San Antonio, TX 78223, USA",ChIJs4ppP9D3XIYRbbZIXYBWzlY,ROOFTOP,"29.3703843,-98.474515"
1600 Saltillo St,"San Antonio, TX",Good Samaritan Center,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"1600 Saltillo St, San Antonio, TX 78207, USA",ChIJI4fB5C9ZXIYRC06KoWR_LLc,ROOFTOP,"29.411504,-98.5388866"
1938 S Zarzamora St,"San Antonio, TX",San Juan Square Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"1938 S Zarzamora St, San Antonio, TX 78207, USA",ChIJgUkFSidZXIYRGNQJ0Ktatf4,ROOFTOP,"29.4058461,-98.52957699999999"
2003 S Zarzamora St,"San Antonio, TX",Gardens at San Juan Square Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"2003 S Zarzamora St, San Antonio, TX 78207, USA",ChIJXQ2HzCBZXIYRc-AwMXZZEyQ,ROOFTOP,"29.4053578,-98.53025269999999"
2404 S Calaveras St,"San Antonio, TX",San Juan Square 2 Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"2404 S Calaveras St, San Antonio, TX 78207, USA",ChIJRyTIhd9YXIYRH_Bh2yC6yBI,ROOFTOP,"29.40219129999999,-98.52773409999999"
1901 S San Marcos,"San Antonio, TX",Artisan at Creekside Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"1901 S San Marcos, San Antonio, TX 78207, USA",ChIJpaI978NYXIYR3O2XosKD-WU,ROOFTOP,"29.40563,-98.512669"
4618 Dietrich Rd,"San Antonio, TX",Dietrich Rd Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"4618 Dietrich Rd, San Antonio, TX 78219, USA",ChIJA1iJFAb0XIYRRH-NWMMAg3c,ROOFTOP,"29.44124729999999,-98.40088329999999"
4141 I-10 Frontage Rd,"San Antonio, TX",Casa Pointe Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"4141 I-10 Frontage Rd, Converse, TX 78109, USA",Ei40MTQxIEktMTAgRnJvbnRhZ2UgUmQsIENvbnZlcnNlLCBUWCA3ODEwOSwgVVNBIhsSGQoUChIJGW8A6zDyXIYRTSlDUcmga7EQrSA,RANGE_INTERPOLATED,"29.4509473,-98.3411692"
4201 Leo Ln,"San Antonio, TX",The Palms/Edge Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"Leo Ln, Riviera Beach, FL, USA",ChIJ-Z4Ropwq2YgRA4A5lQZpeEM,GEOMETRIC_CENTER,"26.7924808,-80.1032333"
1010 Locke St,"San Antonio, TX",Park At Sutton Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"1010 Locke St, San Antonio, TX 78208, USA",ChIJB9LyDtH1XIYRcCsJfXwrlBQ,ROOFTOP,"29.4361834,-98.4476213"
2818 N IH-35,"San Antonio, TX",Sutton Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"2818 I-35, San Antonio, TX 78208, USA",ChIJc5BbOdL1XIYRoBHwH7f2teI,ROOFTOP,"29.4378829,-98.4447843"
1111 S. Navidad St.,"San Antonio, TX",Barkley-Ruiz Elementary School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"1111 S Navidad St, San Antonio, TX 78207, USA",ChIJCS0Nk9ZYXIYRHvAOHJmgC8U,ROOFTOP,"29.4160826,-98.5243435"
1411 W. Ashby Place,"San Antonio, TX",Beacon Hill Elementary School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"1411 W Ashby Pl, San Antonio, TX 78201, USA",ChIJz-xI8BZfXIYRRa8QFJ8kXko,ROOFTOP,"29.4499657,-98.514521"
510 Morningview Drive,"San Antonio, TX",Gates Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"510 Morningview Dr, San Antonio, TX 78220, USA",ChIJdyGkXZL2XIYRXJJQNLqJ7dg,ROOFTOP,"29.4099234,-98.4278566"
325 Pruitt Ave.,"San Antonio, TX",Harris Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"325 Pruitt Ave, San Antonio, TX 78204, USA",ChIJyaAvyepYXIYR5ibzdlWXF9Y,ROOFTOP,"29.3994749,-98.5074873"
1130 E. Sunshine Drive,"San Antonio, TX",Longfellow Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"1130 E Sunshine Dr, San Antonio, TX 78228, USA",ChIJiRzeZHteXIYRz8yt310C-Ps,ROOFTOP,"29.4732844,-98.56326"
3000 Tampico St,"San Antonio, TX",Rhodes Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"3000 Tampico St, San Antonio, TX 78207, USA",ChIJ_zZxkDFZXIYRCDs33gB9o04,ROOFTOP,"29.4164376,-98.5414091"
202 School St.,"San Antonio, TX",Riverside Park Elementary School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"202 School St, San Antonio, TX 78210, USA",ChIJp6Drsin2XIYRHrgPrSPNNak,ROOFTOP,"29.388482,-98.4822744"
