Address,City,Name,URL,Program Details,School District,Image,Formatted Address,latlong,lat,long
1600 Saltillo St,"San Antonio, TX",Good Samaritan Center,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1600 Saltillo St, San Antonio, TX 78207, USA","29.411504,-98.5388866",29.411504,-98.5388866
1938 S Zarzamora St,"San Antonio, TX",San Juan Square Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1938 S Zarzamora St, San Antonio, TX 78207, USA","29.4058461,-98.52957699999999",29.4058461,-98.529577
2003 S Zarzamora St,"San Antonio, TX",Gardens at San Juan Square Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"2003 S Zarzamora St, San Antonio, TX 78207, USA","29.4053578,-98.53025269999999",29.4053578,-98.5302527
2404 S Calaveras St,"San Antonio, TX",San Juan Square 2 Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"2404 S Calaveras St, San Antonio, TX 78207, USA","29.40219129999999,-98.52773409999999",29.4021913,-98.5277341
1901 S San Marcos,"San Antonio, TX",Artisan at Creekside Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1901 S San Marcos, San Antonio, TX 78207, USA","29.40563,-98.512669",29.40563,-98.512669
4618 Dietrich Rd,"San Antonio, TX",Dietrich Rd Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"4618 Dietrich Rd, San Antonio, TX 78219, USA","29.44124729999999,-98.40088329999999",29.4412473,-98.4008833
4141 I-10 Frontage Rd,"San Antonio, TX",Casa Pointe Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"4141 I-10 Frontage Rd, Converse, TX 78109, USA","29.4509473,-98.3411692",29.4509473,-98.3411692
3735 E Commerce St,"San Antonio, TX",The Palms/Edge Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"3735 E Commerce St, San Antonio, TX 78219, USA","29.4267289,-98.423954",29.4267289,-98.423954
1010 Locke St,"San Antonio, TX",Park At Sutton Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1010 Locke St, San Antonio, TX 78208, USA","29.4361834,-98.4476213",29.4361834,-98.4476213
2818 N IH-35,"San Antonio, TX",Sutton Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"2818 I-35, San Antonio, TX 78208, USA","29.4378829,-98.4447843",29.4378829,-98.4447843
