Address,City,City,State,Name,URL,Program Details,School district,Image
5227 Evers Rd,"San Antonio, TX",San Antonio, TX,Neff MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
201 Hunt Lane,"San Antonio, TX",San Antonio, TX,Pease MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
1400 Cedarhurst,"San Antonio, TX",San Antonio, TX,Rayburn MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
3630 Callaghan,"San Antonio, TX",San Antonio, TX,Ross MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
6558 Horn Blvd,"San Antonio, TX",San Antonio, TX,Rudder MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
13200 Skyhawk,"San Antonio, TX",San Antonio, TX,Stinson MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
2120 N. Ellison,"San Antonio, TX",San Antonio, TX,Vale MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
9410 Timber Path,"San Antonio, TX",San Antonio, TX,Zachry MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
1725 Palo Alto Rd,"San Antonio, TX",San Antonio, TX,Palo Alto ES,https://www.facebook.com/…/a.4252205621…/10159693678282178/…,curbside pickup of breakfast 7:30 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:30 p.m.,South San ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/soutsanisd.png
500 Price Ave,"San Antonio, TX",San Antonio, TX,Carrillo ES,https://www.facebook.com/…/a.4252205621…/10159693678282178/…,curbside pickup of breakfast 7:30 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:30 p.m.,South San ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/soutsanisd.png
7138 Five Palms Dr,"San Antonio, TX",San Antonio, TX,Five Palms ES,https://www.facebook.com/…/a.4252205621…/10159693678282178/…,curbside pickup of breakfast 7:30 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:30 p.m.,South San ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/soutsanisd.png
7811 Kindred St,"San Antonio, TX",San Antonio, TX,Kindred ES,https://www.facebook.com/…/a.4252205621…/10159693678282178/…,curbside pickup of breakfast 7:30 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:30 p.m.,South San ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/soutsanisd.png
2250 Pue Rd,"San Antonio, TX",San Antonio, TX,Big Country Elementary School,https://www.facebook.com/…/a.3999011730…/10157436915188068/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,Southwest ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/southwestisd.jpg
3022 Reforma Dr,"San Antonio, TX",San Antonio, TX,Bob Hope Elementary School,https://www.facebook.com/…/a.3999011730…/10157436915188068/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,Southwest ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/southwestisd.jpg
5102 Trading Post,"San Antonio, TX",San Antonio, TX,Hidden Cove Elementary School,https://www.facebook.com/…/a.3999011730…/10157436915188068/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,Southwest ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/southwestisd.jpg
8911 Excellence Dr,"San Antonio, TX",San Antonio, TX,Medio Creek Elementary School,https://www.facebook.com/…/a.3999011730…/10157436915188068/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,Southwest ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/southwestisd.jpg
5902 Fishers Bend St,"San Antonio, TX",San Antonio, TX,Sky Harbour Elementary School,https://www.facebook.com/…/a.3999011730…/10157436915188068/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,Southwest ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/southwestisd.jpg
11914 Dragon Ln,"San Antonio, TX",San Antonio, TX,Southwest Elementary school,https://www.facebook.com/…/a.3999011730…/10157436915188068/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,Southwest ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/southwestisd.jpg
5311 Merlin Drive,"San Antonio, TX",San Antonio, TX,Camelot Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
200 Lemonwood,"San Antonio, TX",San Antonio, TX,Castle Hills Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
4311 Clear Spring,"San Antonio, TX",San Antonio, TX,Clear Spring Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
302 Heimer Road,"San Antonio, TX",San Antonio, TX,Coker Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
2627 Kerrybrook Court,"San Antonio, TX",San Antonio, TX,Colonial Hills Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
7235 Dewhurst Road,"San Antonio, TX",San Antonio, TX,Dellview Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
4415 Bloomdale,"San Antonio, TX",San Antonio, TX,East Terrell Hills Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
12634 El Sendero,"San Antonio, TX",San Antonio, TX,El Dorado Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
6111 Fox Creek,"San Antonio, TX",San Antonio, TX,"Fox Run Elementary,",https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
10727 Memory Lane,"San Antonio, TX",San Antonio, TX,Harmony Hills Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
16311 Huebner,"San Antonio, TX",San Antonio, TX,Huebner Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
1701 Jackson-Keller,"San Antonio, TX",San Antonio, TX,Jackson-Keller Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
1802 Larkspur,"San Antonio, TX",San Antonio, TX,Larkspur Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
15806 O’Connor,"San Antonio, TX",San Antonio, TX,Longs Creek Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
7047 Montgomery Drive,"San Antonio, TX",San Antonio, TX,Montgomery Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
13901 Higgins Road,"San Antonio, TX",San Antonio, TX,Northern Hills Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
519 Pike Road,"San Antonio, TX",San Antonio, TX,Northwood Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
3250 Nacogdoches Road,"San Antonio, TX",San Antonio, TX,Oak Grove Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
2800 Hunters Green,"San Antonio, TX",San Antonio, TX,Oak Meadow Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
1103 Allena,"San Antonio, TX",San Antonio, TX,Olmos Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
16650 Redland Road,"San Antonio, TX",San Antonio, TX,Redland Oaks Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
10222 Broadway,"San Antonio, TX",San Antonio, TX,Regency Place Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
8223 N. McCullough,"San Antonio, TX",San Antonio, TX,Ridgeview Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
5933 Royal Ridge,"San Antonio, TX",San Antonio, TX,Royal Ridge Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
2569 NE Loop 410,"San Antonio, TX",San Antonio, TX,Serna Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
5222 Stahl Road,"San Antonio, TX",San Antonio, TX,Stahl Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
5100 Knoll Creek,"San Antonio, TX",San Antonio, TX,Steubing Ranch Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
4618 Walzem Road,"San Antonio, TX",San Antonio, TX,Walzem Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
3250 Thousand Oaks,"San Antonio, TX",San Antonio, TX,Wetmore Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
6523 Cascade,"San Antonio, TX",San Antonio, TX,Wilshire Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
465 Faircrest,"San Antonio, TX",San Antonio, TX,Windcrest Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
5602 Fountainwood,"San Antonio, TX",San Antonio, TX,Woodstone Elementary,https://www.neisd.net/site/default.aspx…,Curbside meal sites will be open from 11:30 a.m. – 1:30 p.m. daily,North East ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northeastisd.jpg
9142 FM78,"Converse, TX",Converse, TX,Judson High School,https://www.judsonisd.org/site/default.aspx…,curbside pickup of breakfast 8:00 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:00 p.m.,Judson ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/judsonisd.png
3000 N Foster Rd,"San Antonio, TX",San Antonio, TX,Wagner High School,https://www.judsonisd.org/site/default.aspx…,curbside pickup of breakfast 8:00 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:00 p.m.,Judson ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/judsonisd.png
8439 Athenian Dr,Universal City,Universal City,TX,Olympia Elementary School,https://www.judsonisd.org/site/default.aspx…,curbside pickup of breakfast 8:00 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:00 p.m.,Judson ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/judsonisd.png
2440 Ackerman Rd,"San Antonio, TX",San Antonio, TX,Hopkins Elementary School,https://www.judsonisd.org/site/default.aspx…,curbside pickup of breakfast 8:00 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:00 p.m.,Judson ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/judsonisd.png
3635 Candleglenn,"San Antonio, TX",San Antonio, TX,Candlewood Elementary School,https://www.judsonisd.org/site/default.aspx…,curbside pickup of breakfast 8:00 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 12:00 p.m.,Judson ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/judsonisd.png
7607 N New Braunfels Ave,"San Antonio, TX",San Antonio, TX,Alamo Heights Junior School,http://www.ahisd.net/ne…/what_s_new/drive-_thru_meal_service,Curbside pickup 8:00AM - 10:00AM,Alamo Heights ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/alamoheightsisd.png
3223 S Loop 1604 E,"San Antonio, TX",#REF!,3735 E Commerce St,Southside Heritage Elementary,https://www.facebook.com/southsideisd/posts/2904315356258071?__xts__[0]=68.ARBM6Xs2dosOVybQgxTcTilt1b3OYCJYqf8OD47-Er-PXmsIfJLyesrfD8JQDmsaafmyW4_gKGXoeLqNbbNnpOB_oJGv9LckxrbvQ1Igjfr1CXj7C5L1nfcYCfh-gwmz3mV7yZpdGcT1Tb7QNArUf5nGO6Bhhqr-D9dYnwKTbgLwM-m3hAbBhWbMTeyshNHdCDYtLXTEWM7r1YBsBxwB_tBn_ncpGBBILWqeLy0qInUrnbKXAt99ZEcomFXmF3-l-ayh6RI6t46tXi1XeoolBGXZkxrnZP9db-rmLhRa1CQLNnL76VK5grdjalO9Dd2Y3aGdM47C_16kc-ppMrF00g&__tn__=-R,Curbside pickup at 12:00PM,Southside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/southsideisd.jpg
19190 US-281 South #2,"San Antonio, TX",San Antonio, TX,Southside High School,https://www.facebook.com/southsideisd/posts/2904315356258071?__xts__[0]=68.ARBM6Xs2dosOVybQgxTcTilt1b3OYCJYqf8OD47-Er-PXmsIfJLyesrfD8JQDmsaafmyW4_gKGXoeLqNbbNnpOB_oJGv9LckxrbvQ1Igjfr1CXj7C5L1nfcYCfh-gwmz3mV7yZpdGcT1Tb7QNArUf5nGO6Bhhqr-D9dYnwKTbgLwM-m3hAbBhWbMTeyshNHdCDYtLXTEWM7r1YBsBxwB_tBn_ncpGBBILWqeLy0qInUrnbKXAt99ZEcomFXmF3-l-ayh6RI6t46tXi1XeoolBGXZkxrnZP9db-rmLhRa1CQLNnL76VK5grdjalO9Dd2Y3aGdM47C_16kc-ppMrF00g&__tn__=-R,Curbside pickup at 12:00PM,Southside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/southsideisd.jpg
7173 FM 1628,"San Antonio, TX",San Antonio, TX,East Central High School,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
7284 FM 1628,"San Antonio, TX",San Antonio, TX,CAST Lead High School,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
8004 New Sulphur Springs Rd,"San Antonio, TX",San Antonio, TX,Heritage Middle School,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
5903 SE Loop 410,"San Antonio, TX",San Antonio, TX,Legacy Middle School,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
10625 Green Lake St.,"San Antonio, TX",San Antonio, TX,Harmony Elementary,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
3736 SE Military Dr,"San Antonio, TX",San Antonio, TX,Highland Forest Elementary,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
7806 New Sulphur Springs Rd,"San Antonio, TX",San Antonio, TX,Oak Crest Elementary,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
3966 E. Southcross,"San Antonio, TX",San Antonio, TX,Pecan Valley Elementary,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
3602 WW White Rd.,"San Antonio, TX",San Antonio, TX,Salado Elementary,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
6126 Sinclair Rd.,"San Antonio, TX",San Antonio, TX,Sinclair Elementary,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
2885 FM 1346,"San Antonio, TX",San Antonio, TX,Tradition Elementary,https://www.ecisd.net/Page/12262,curbside pickup of breakfast 7 a.m. to 9:00 a.m. and lunch from 11:00 a.m. to 1:00 p.m.,East Central ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/eastcentralisd.jpg
369 FM 1346 South,"La Vernia, TX",La Vernia, TX,Lavernia Middle School,https://www.lvisd.org//site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=11&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5182&PageID=1,curbside pickup of breakfast 7:30 a.m. to 8:00 a.m. and lunch from 11:00 a.m. to 12:00 a.m.,La Vernia ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/lavernia_isd.png?itok=dpxP5qzH
8365 FM 471 South,"Castroville, TX",Castroville, TX,Medina Valley High School,https://www.mvisd.com/,curbside pickup of breakfast 7:30 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 12:30 a.m.,Medina Valley ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/medina_valley_isd.png?itok=Na9d7rml
16069 Uvalde St,"Lacoste, TX",Lacoste, TX,LaCoste Elementary School,https://www.mvisd.com/,curbside pickup of breakfast 7:30 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 12:30 a.m.,Medina Valley ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/medina_valley_isd.png?itok=Na9d7rml
12045 Luckey River,"San Antonio, TX",San Antonio, TX,Luckey Ranch Elementary School,https://www.mvisd.com/,curbside pickup of breakfast 7:30 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 12:30 a.m.,Medina Valley ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/medina_valley_isd.png?itok=Na9d7rml
190 CR 381 South,"San Antonio, TX",San Antonio, TX,Potranco Elementary School,https://www.mvisd.com/,curbside pickup of breakfast 7:30 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 12:30 a.m.,Medina Valley ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/medina_valley_isd.png?itok=Na9d7rml
701 Curtiss Ave,"Schertz, TX",Schertz, TX,Schertz Elementary School,https://www.scuc.txed.net/page/32560,curbside pickup of breakfast 7:30 a.m. to 8:30 a.m. and lunch from 11:30 a.m. to 1:00 p.m.,Schertz-Cibolo-Universal City ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/schertz-cibolo-universal_city_isd.jpg?itok=4QFJW5gb
